,Year,Season,Conc
0,1950,DJF,311.63
1,1950,JJA,311.37
2,1950,MAM,312.05
3,1950,SON,307.99
4,1951,DJF,311.63
5,1951,JJA,311.95
6,1951,MAM,312.65
7,1951,SON,308.61
8,1952,DJF,312.12
9,1952,JJA,312.53
10,1952,MAM,313.26
11,1952,SON,309.24
12,1953,DJF,312.62
13,1953,JJA,313.11
14,1953,MAM,313.86
15,1953,SON,309.86
16,1954,DJF,313.11
17,1954,JJA,313.69
18,1954,MAM,314.47
19,1954,SON,310.49
20,1955,DJF,313.6
21,1955,JJA,314.27
22,1955,MAM,315.07
23,1955,SON,311.11
24,1956,DJF,314.1
25,1956,JJA,314.85
26,1956,MAM,315.68
27,1956,SON,311.74
28,1957,DJF,314.59
29,1957,JJA,315.43
30,1957,MAM,316.28
31,1957,SON,312.36
32,1958,DJF,315.09
33,1958,DJF,316.88666666666666
34,1958,JJA,312.9866666666667
35,1958,MAM,316.01
36,1959,DJF,317.55333333333334
37,1959,JJA,313.99333333333334
38,1959,MAM,316.49666666666667
39,1959,SON,315.57666666666665
40,1960,DJF,318.8833333333333
41,1960,JJA,314.3333333333333
42,1960,MAM,317.89
43,1960,SON,316.33
44,1961,DJF,319.53333333333336
45,1961,JJA,315.4666666666667
46,1961,MAM,318.37666666666667
47,1961,SON,316.9266666666667
48,1962,DJF,320.42333333333335
49,1962,JJA,316.12
50,1962,MAM,319.21
51,1962,SON,317.8333333333333
52,1963,DJF,321.16333333333336
53,1963,JJA,316.42333333333335
54,1963,MAM,319.66333333333336
55,1963,SON,318.50333333333333
56,1964,DJF,321.6133333333333
57,1964,JJA,317.0833333333333
58,1964,MAM,320.34
59,1964,SON,319.31
60,1965,DJF,321.73333333333335
61,1965,JJA,317.99333333333334
62,1965,MAM,320.65000000000003
63,1965,SON,319.53
64,1966,DJF,323.39
65,1966,JJA,318.84
66,1966,MAM,322.16333333333336
67,1966,SON,320.5466666666667
68,1967,DJF,324.15333333333336
69,1967,JJA,319.79
70,1967,MAM,322.51666666666665
71,1967,SON,321.9533333333333
72,1968,DJF,324.82666666666665
73,1968,JJA,320.6333333333333
74,1968,MAM,323.87
75,1968,SON,322.56
